archivo,mensaje,ruido,nivel,ZCR,MEANt,VARt,SKEWt,KURTt,LEQt,BGNt,SNRt,MED,Ht,ACTtFraction,ACTtCount,ACTtMean,EVNtFraction,EVNtMean,EVNtCount,MEANf,VARf,SKEWf,KURTf,NBPEAKS,LEQf,ENRf,BGNf,SNRf,Hf,EAS,ECU,ECV,EPS,EPS_KURT,EPS_SKEW,ACI,NDSI,rBA,AnthroEnergy,BioEnergy,BI,ROU,ADI,AEI,LFC,MFC,HFC,ACTspFract,ACTspCount,ACTspMean,EVNspFract,EVNspMean,EVNspCount,TFSD,H_Havrda,H_Renyi,H_pairedShannon,H_gamma,H_GiniSimpson,RAOQ,AGI,nROI,aROI,audio_filename
mensaje1_nature_equal_hrtf.wav,mensaje1,nature,equal,6293.92174766983,1.1096737893834278e-18,0.0020596896434566495,0.12683372859317874,38.8867225643877,60.21713827252004,-24.029664345143246,8.693991307841479,0.06288061530407779,0.7899336614820057,0.3669609079445145,291.0,12.82484569785577,0.3530895334174023,0.07223985890652558,4.893909801136363,0.0008328704241705639,3.329156464831455e-06,3.2981152717311235,14.909113414593483,25.0,60.117416075517696,-26.861984011202686,-40.35613953451894,13.494155523316252,0.6357567402090164,0.11527806105923766,0.2860850791005678,0.18106056147852878,0.16964654428233306,17.833595477093997,3.193319565335018,331.8090978784844,0.7139207383302446,5.99106949705695,0.25673684313614686,1.5381282696836645,122.02249721821065,1.9223572643022213,1.8764049859778447,0.4822078045333994,0.3384364478114478,0.33745189995189995,0.20539623704859755,0.2577261876578283,204.119140625,19.760158144001107,0.13816633128156566,0.06281819891616111,1.7282199015659567,0.6730922653712565,0.3328982404252572,3.320669339614272,4.950996812666617,4687.3876457576225,0.9703263905299407,0.08531693071572395,2.3934139250474087,965.7315340909091,7.444809422348484,mensaje1_nature_equal_hrtf.wav
mensaje1_nature_high_hrtf.wav,mensaje1,nature,high,6567.278449064581,9.562131612539602e-19,0.004725518778557577,-0.03354454541347253,15.066037160388534,63.84288730839007,-16.970323577632985,4.055932352129654,0.14173735185846958,0.880034611233604,0.31266846361185985,232.0,8.138502776866968,0.2830188679245283,0.059465737514518,4.76578314777328,0.0013582248509399985,7.431471480215427e-06,2.8712933424872196,12.144951316035625,28.0,63.74582237550634,-23.233577711214032,-33.481109856580964,10.247532145366932,0.6690170680225689,0.09682573264304839,0.33234518600611906,0.16970593301981562,0.18247015676982825,15.617681812359685,2.9343818962574013,321.9804036400194,0.804858934630637,9.248996008166703,0.3607657965262311,3.3367214119541924,136.2974808707732,4.31898446452161,1.9604880270626197,0.4204625165241005,0.2753598740440846,0.3140864982970247,0.17320289829890012,0.23096427968960864,171.14453125,16.843672758975064,0.107503584682861,0.059351379428441695,1.3417331592456716,0.6712724307847298,0.33301989095845513,3.4846413691546894,5.161236334758537,5739.570872463715,0.9757022775631663,0.11317767899740931,1.9397844137914573,1025.2245698380568,8.74583544197031,mensaje1_nature_high_hrtf.wav
mensaje1_nature_low_hrtf.wav,mensaje1,nature,low,5959.617869510535,-5.168207986690669e-19,0.0018698590619428406,0.1454378681897752,46.12053343895886,59.815860244155765,-27.235819464660533,11.667109340615625,0.043471940511126794,0.7690825370011962,0.416141235813367,330.0,15.40324660360066,0.40479192938209335,0.08666983072298687,4.676402698863637,0.0007621102845397886,3.07212322341125e-06,3.457578124165462,15.923484700237132,25.0,59.69851950893242,-27.28088057778795,-43.79512901656164,16.514248438773688,0.6209040583612385,0.09905752158161718,0.24049175920833998,0.1443767807085321,0.159803023387305,16.298484341011704,3.1717128778784103,342.24809785615264,0.6949529824737635,5.556366347125433,0.2510443185501855,1.3948942032292877,112.35506865847763,1.7333620458276149,1.8148351030163985,0.5139690314762742,0.38441708754208753,0.3568001443001443,0.23252915420297393,0.2800835503472222,221.826171875,21.780579286139307,0.1664151278409091,0.06639088418256572,2.045535197300193,0.661719272470114,0.332843723957287,3.261645193930008,4.85721882380837,4128.402077550824,0.9681387192501417,0.0756567297531986,2.874891892867155,835.2272727272727,6.881066524621213,mensaje1_nature_low_hrtf.wav
mensaje1_road_equal_hrtf.wav,mensaje1,road,equal,3756.6855607049943,-3.6847946441358096e-19,0.001835504519619384,0.16155351906917279,47.181174277493334,59.73803733823483,-27.907389993160297,12.270413791472773,0.04023745466146096,0.7657032204232735,0.41992433795712486,333.0,15.983302437339624,0.4060529634300127,0.09585673585673588,4.241388494318182,0.0007529000391956022,3.019438987508658e-06,3.467406733196906,15.995237775840952,24.0,59.61856277844407,-27.360837308276306,-44.911505130606145,17.55066782232984,0.619963498700048,0.13573389671054847,0.3709601936862804,0.22389851537676753,0.1160972960566562,11.685738645247687,2.6538826598572927,338.1687907488532,0.6831053063888761,5.311244840389447,0.25637747183028464,1.3616835244506902,104.50431890107973,1.6902916935772043,1.762389533917685,0.5361618368643107,0.26288930976430974,0.3774350649350649,0.17805739801447953,0.2582095367739899,204.501953125,24.156980256192732,0.15272352430555558,0.05617180828054162,1.8736915250795074,0.6737612634222016,0.33283899184571836,3.2568358602249545,4.851272385356148,4131.91140809797,0.96798583168603,0.07532863676146997,3.037681234872326,769.9751420454545,8.742700441919192,mensaje1_road_equal_hrtf.wav
mensaje1_road_high_hrtf.wav,mensaje1,road,high,3456.2462312423545,-2.7325136404418316e-21,0.0018945816179999882,0.17341327922251756,44.142905279062504,59.86958237797454,-26.766924185210105,11.183976646165316,0.04588320969412724,0.7753870242103906,0.4098360655737705,325.0,14.955384180921833,0.39218158890290045,0.08396983599641408,4.676402698863637,0.0007828704434138879,3.089331146430469e-06,3.339714815346573,15.128920525678867,25.0,59.75671872907091,-27.222681357649456,-40.80737043930305,13.584689081653593,0.6301017616653675,0.1235579769165398,0.35445929802517984,0.21656730153048176,0.11712673050983746,11.369781267798567,2.6712143151127106,328.87708112403504,0.6413857687898333,4.577023514239443,0.2984986283296278,1.3662352408329264,105.31231323760518,1.7265060369828955,1.6996445231020305,0.5665612532330858,0.20380892255892255,0.3119167869167869,0.15219252611956477,0.21684126420454541,171.73828125,20.688714438000577,0.10246754655934343,0.04879887631363483,1.3617760312240734,0.67206630079891,0.33288276745955486,3.30319698961693,4.915406132810396,4494.302277197601,0.969716360695246,0.0844700445982695,2.2622490547159186,789.55078125,6.673916903409091,mensaje1_road_high_hrtf.wav
mensaje1_road_low_hrtf.wav,mensaje1,road,low,3979.627172957979,2.3147806176592863e-19,0.0018279561646785656,0.15456935305857963,47.68267031640567,59.72113628462679,-27.835231745244858,12.196353509022929,0.04057312068051822,0.7638555247630019,0.4136191677175284,328.0,15.978574392918736,0.39848675914249687,0.08948177645041756,4.458895596590909,0.0007461483168575262,3.014622724582995e-06,3.4889264866600618,16.12495952068218,25.0,59.60043604068125,-27.378964046039123,-46.372698888485075,18.993734842445953,0.6177472622258108,0.13396821291011973,0.3572396054005267,0.21894025654675053,0.12382770232732676,13.844657150741922,2.797391248572829,345.2256683756492,0.6897958308511135,5.4473666020912646,0.25007483028973104,1.3622492785439217,104.0715724058664,1.6867953678425638,1.7899730144056805,0.5184008127126297,0.32838804713804715,0.39990379990379993,0.20874517709281662,0.28462111347853536,225.419921875,25.586355557856333,0.18530273437500003,0.06569973097109356,2.179309541145257,0.6644952697543618,0.33283168625781917,3.249500716837558,4.837292167977353,4005.111235893957,0.9676841801552496,0.07378679528132163,3.5795255870465237,593.7943892045455,8.177231297348484,mensaje1_road_low_hrtf.wav
mensaje1_voices_equal_hrtf.wav,mensaje1,voices,equal,4472.942473683303,-5.885834381511705e-19,0.002328052171244878,0.12632736817714224,30.357430192241324,60.76078174647658,-21.705861446253707,6.686535791140631,0.08216879681010911,0.8219596010889085,0.3253467843631778,258.0,11.04716416430336,0.2988650693568726,0.06398987501977535,4.676402698863637,0.0008790178353973394,3.7624887118927323e-06,3.171641241625129,13.837596934514803,22.0,60.63802685343295,-26.341373233287413,-33.78663349512786,7.4452602618404455,0.6406305700995786,0.045483092621833476,0.3108513919636847,0.1832111308912726,0.12596876032979776,34.271420133616715,4.430831553152288,315.05699598830614,0.5945513401329794,3.9328070307494944,0.4215085081072758,1.6577116242050245,110.94665574922828,2.1627335544241877,1.7522045892957494,0.5126463551180411,0.20591329966329966,0.22387566137566137,0.16806476785017557,0.1888070154671717,149.53515625,12.955420477622965,0.05465050899621212,0.05443780955303806,0.8570915829818859,0.6285096814604714,0.3329484560341149,3.381986844566862,4.982268210302727,4557.336990229039,0.9720079270161588,0.09117299719846653,1.5433387718348284,991.8323863636364,3.5676590119949494,mensaje1_voices_equal_hrtf.wav
mensaje1_voices_high_hrtf.wav,mensaje1,voices,high,4346.601657391933,-2.226452114232004e-18,0.00502953771092323,0.04923541795964936,9.245178668667547,64.08552870276057,-15.09222959729949,2.392731039871734,0.17594969572557795,0.9193901520598042,0.2068095838587642,164.0,6.914521578502613,0.17276166456494327,0.04819899677042534,3.5888671875,0.0013412053240330595,7.984615756765236e-06,2.7117219293380157,10.35792071139074,16.0,63.97701887506824,-23.00238121165213,-27.06697750160156,4.0645962899494315,0.6677727219387936,0.008765506066697237,0.24937679237679145,0.16677916463876752,0.12760699875746073,28.29872520820971,4.095893339221556,305.11410541619347,0.4177026567275139,2.434671346360754,1.3427151057018956,3.2690699941781562,113.89277644754466,4.647696789895201,1.871441007943566,0.4342982381180967,0.1898148148148148,0.1927128427128427,0.16225560324272767,0.17320667613636365,137.1796875,9.045400804790711,0.03314640546085859,0.05354706027155007,0.5480707219216675,0.6143062309378104,0.3331019365665738,3.636382213575669,5.154686234230965,5009.616546447366,0.9780422035031936,0.11757258161617053,1.355024308393986,1050.5593039772727,2.0234079071969697,mensaje1_voices_high_hrtf.wav
mensaje1_voices_low_hrtf.wav,mensaje1,voices,low,4541.9740537187945,-2.931304007783975e-19,0.0019031327963310134,0.15274370914033647,44.15499108835965,59.894255335532876,-26.132098314577163,10.602735673833033,0.049362265577025256,0.7765148030065212,0.39092055485498106,310.0,14.553982363269904,0.3745271122320303,0.07183673469387755,5.220170454545454,0.0007689534432580509,3.1222249685344696e-06,3.4251184329040156,15.668368308956355,25.0,59.76995078053101,-27.20944930618936,-39.601761991406676,12.392312685217316,0.6226950078259386,0.08166628416960742,0.31809536842489206,0.18156179621634694,0.1390547255019854,23.36905495419766,3.793124998389702,329.1621926614737,0.6721566875406755,5.1004752087116,0.27570901634449746,1.4062470026833707,107.54230507559411,1.763285295943417,1.7162533655266747,0.5466977085046295,0.25541877104377103,0.2798220298220298,0.18599080938136733,0.2222888060290404,176.052734375,17.815296932414427,0.09575737847222222,0.05816016973835141,1.3690070768373201,0.6387642194781182,0.33285651457649834,3.274880907659616,4.868616381168875,4133.853750120279,0.9685754792116053,0.07713107727191529,2.0074306039133267,978.7819602272727,5.549883601641414,mensaje1_voices_low_hrtf.wav
mensaje2_nature_equal_hrtf.wav,mensaje2,nature,equal,6255.649627363006,9.605846963248288e-20,0.0020311753021771102,0.0905877818412214,42.34188200828027,60.28153434060452,-25.337308854711555,9.809299550010746,0.0540924072265625,0.7686724995089825,0.36675824175824173,267.0,13.993804535202514,0.35439560439560436,0.07131843213475868,4.976035935350756,0.0008006342368845542,3.312763688357719e-06,3.431743983795496,15.82567040422682,30.0,60.042223457066406,-26.93717662965396,-41.641319814235864,14.704143184581906,0.6240607481825954,0.12935557466401026,0.34637776696503775,0.2166193990496117,0.19460275026516394,20.72369594914857,3.4450809467407666,327.38220016303404,0.7234262224921022,6.23134354247625,0.22302079316410747,1.3897191793210926,129.72126828119542,1.6004496725528126,1.871379387342007,0.4884601583934359,0.32794589637780835,0.33331368310735576,0.19727730516969616,0.25206864683631364,183.25390625,20.783988119067832,0.13310264786795048,0.0628142676828831,1.5782395670236633,0.6597760881448337,0.3328504626392712,3.2685746828212534,4.87706374024194,4258.273177727517,0.9684364645490864,0.07674848662796487,2.427084852882886,781.9485041265475,5.988329607977992,mensaje2_nature_equal_hrtf.wav
mensaje2_nature_high_hrtf.wav,mensaje2,nature,high,6548.007283786067,-8.024101531485203e-20,0.003246907526159811,0.04001648491805147,21.32145571497623,62.19773633181471,-19.73194968666534,5.45139688710986,0.1031341552734375,0.8328060009619263,0.3131868131868132,228.0,9.859020048925277,0.29670329670329665,0.06430141287284144,4.620604797111417,0.001084236371568944,5.1487254043840665e-06,3.038977803071825,13.223783978827425,29.0,62.08222014681407,-24.897179939906305,-36.16552772573765,11.268347785831342,0.6548559128749863,0.11217915067695705,0.3563958888583293,0.212259029576923,0.20179116700320776,20.868644744843948,3.4816478964103905,317.7253975972217,0.7865908302494212,8.371668529227179,0.2667141475311519,2.2328424351861993,142.40315141848455,2.6947663039427905,1.9760566026052577,0.4123956477661007,0.2751604768454837,0.3103032684875876,0.1786458548565154,0.23207530949105915,168.71875,17.536621105691864,0.10376816110729023,0.061326069447451045,1.2580036131803654,0.6617979444675081,0.3329686584026137,3.408945956651159,5.071801678525964,5183.8147143922315,0.9735698023798324,0.10035569220846174,1.962584164549471,980.9899415405778,5.290631447730399,mensaje2_nature_high_hrtf.wav
mensaje2_nature_low_hrtf.wav,mensaje2,nature,low,5921.425219170625,-1.8270090175352904e-19,0.0018225544117612307,0.1081337697738405,49.33217017849426,59.841029790772254,-28.700276499736347,12.877152867917264,0.03672832876608267,0.7495027854420554,0.42032967032967034,306.0,16.589715067959936,0.412087912087912,0.09165771571786609,4.502127751031637,0.0007334219766784779,3.0089310137008887e-06,3.5528235133119157,16.592339020818827,33.0,59.57051421524821,-27.40888587147216,-45.56922310325969,18.160337231787526,0.6124682910594346,0.11379850100851763,0.3091629886003665,0.17492809175351842,0.1867470701620817,18.076074556897158,3.368344083303433,337.12502066709476,0.7085045206698305,5.861169869926701,0.2124593062535371,1.2452600843987611,120.25502833350124,1.41137422780738,1.8166460404001938,0.5159230855217839,0.37614626318202654,0.3589965284600773,0.22396703484836858,0.27645987362448415,200.986328125,23.269742123578176,0.16515592761348008,0.0665304540812596,1.9262818265552362,0.6618716361124293,0.3328085499830266,3.2269563789785027,4.803876585072839,3825.663574373862,0.9667406552467991,0.06941770161478523,3.026573393055622,796.1657496561211,5.109826341127923,mensaje2_nature_low_hrtf.wav
mensaje2_road_equal_hrtf.wav,mensaje2,road,equal,3641.6977979688,1.666601421984728e-19,0.001777534709443591,0.11390218492647115,50.4810142810834,59.73663937472415,-29.37175779772489,13.470828393667531,0.03399658203125,0.7462937431329528,0.42994505494505497,313.0,17.10044283040982,0.423076923076923,0.09410192147034252,4.502127751031637,0.0007245824474789911,2.934620180957496e-06,3.557027886969064,16.63886843609653,31.0,59.46240867348684,-27.516991413233537,-46.55367837662369,19.03668696339015,0.6123623723146425,0.11573123852684275,0.23854992598423286,0.1604902969875024,0.12265171630010996,12.532219051163214,2.7467302137471883,332.97459754525073,0.69833129857497,5.62978953584628,0.2146498871606182,1.2084336886074332,112.392225659027,1.3749617728597807,1.773408062671836,0.5322324553990562,0.25596056854653826,0.3739044999017489,0.1694541032286249,0.25259789803988997,183.638671875,24.8601762858598,0.14801033786107293,0.05755825910314609,1.7056851347615896,0.6688237034759216,0.33280564678854213,3.224197913523485,4.803178302272811,3879.8353037970683,0.966668649673742,0.06955340504557693,3.024343904743071,618.4501805364512,8.465332702888585,mensaje2_road_equal_hrtf.wav
